"RNUM","VARIABLE_TITLE"
"1","}",""
"2","R0323900","# DAYS/WK TYP FAM RELIGIOUS 1997"
"3","R2165200","# DAYS/WK TYP FAM RELIGIOUS 1998"
"4","R3483100","# DAYS/WK TYP FAM RELIGIOUS 1999"
"5","R4881300","# DAYS/WK TYP FAM RELIGIOUS 2000"
"6","S2977900","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2003"
"7","S4676700","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2004"
"8","S6308900","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2005"
"9","S8329800","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2006"
"10","T0737600","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2007"
"11","T2779700","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2008"
"12","T4494400","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2009"
"13","T6141400","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2010"
"14","T7635300","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2011"
"15","R1193900","CV_AGE(MONTHS)_INT_DATE 1997"
"16","R2553400","CV_AGE(MONTHS)_INT_DATE 1998"
"17","R3876200","CV_AGE(MONTHS)_INT_DATE 1999"
"18","R5453600","CV_AGE(MONTHS)_INT_DATE 2000"
"19","R7215900","CV_AGE(MONTHS)_INT_DATE 2001"
"20","S1531300","CV_AGE(MONTHS)_INT_DATE 2002"
"21","S2000900","CV_AGE(MONTHS)_INT_DATE 2003"
"22","S3801000","CV_AGE(MONTHS)_INT_DATE 2004"
"23","S5400900","CV_AGE(MONTHS)_INT_DATE 2005"
"24","S7501100","CV_AGE(MONTHS)_INT_DATE 2006"
"25","T0008400","CV_AGE(MONTHS)_INT_DATE 2007"
"26","T2011000","CV_AGE(MONTHS)_INT_DATE 2008"
"27","T3601400","CV_AGE(MONTHS)_INT_DATE 2009"
"28","T5201300","CV_AGE(MONTHS)_INT_DATE 2010"
"29","T6651200","CV_AGE(MONTHS)_INT_DATE 2011"
"30","R1194100","CV_AGE_INT_DATE 1997"
"31","R2553500","CV_AGE_INT_DATE 1998"
"32","R3876300","CV_AGE_INT_DATE 1999"
"33","R5453700","CV_AGE_INT_DATE 2000"
"34","R7216000","CV_AGE_INT_DATE 2001"
"35","S1531400","CV_AGE_INT_DATE 2002"
"36","S2001000","CV_AGE_INT_DATE 2003"
"37","S3801100","CV_AGE_INT_DATE 2004"
"38","S5401000","CV_AGE_INT_DATE 2005"
"39","S7501200","CV_AGE_INT_DATE 2006"
"40","T0008500","CV_AGE_INT_DATE 2007"
"41","T2011100","CV_AGE_INT_DATE 2008"
"42","T3601500","CV_AGE_INT_DATE 2009"
"43","T5201400","CV_AGE_INT_DATE 2010"
